name,category,n,grade,score,gradrt,bkstd,avesat,pctsat
Swansboro High,H,1081,B,70,90.7,13.5,1001,0.27
Swansboro Middle,M,791,C,62,0,13.52,0,0
Swift Creek Elementary,E,259,C,65,0,33.71,0,0
Swift Creek Elementary,E,515,C,68,0,26.57,0,0
Sycamore Creek Elementary,E,1109,A,85,0,18.9,0,0
Sycamore Lane Elementary,E,563,C,66,0,21.31,0,0
Sylvan Elementary,E,301,C,58,0,21.94,0,0
T C Henderson Elementary,E,132,B,77,0,68.18,0,0
T S Cooper Elementary,E,242,D,51,0,31.41,0,0
T Wingate Andrews High,H,841,C,60,90.5,10.36,805,0.61
Tabernacle Elementary,E,412,C,63,0,23.73,0,0
Table Rock Middle,M,499,C,66,0,16.42,0,0
Tabor City Elementary,E,384,D,43,0,34.55,0,0
Tabor City Middle,M,177,D,43,0,28.91,0,0
Tanglewood Elementary,E,450,C,65,0,26.68,0,0
Tar Heel Middle,M,308,D,45,0,26.18,0,0
Tar River Elementary,E,477,C,66,0,15.39,0,0
Tarboro High,H,592,C,55,83.3,15.89,800,0.58
Taylorsville Elementary,E,300,C,57,0,25.36,0,0
Teresa C Berrien Elementary,E,165,D,53,0,66.67,0,0
Terrell Lane Middle,M,445,D,53,0,21.5,0,0
Terry Sanford High,H,1272,C,69,87.2,10.94,1008,0.56
The Academy at Central,H,141,B,77,95,0,836,0.92
The Academy at Smith,H,210,A,86,95,18.6,911,1.04
The Downtown School,I,380,B,83,0,23.06,0,0
The JP Knapp ECH (i)School,H,266,A,87,95,12.77,1030,0.37
The School for Creative Studies,T,515,C,55,0,26.92,0,0
Third Creek Elementary,E,552,D,49,0,16.85,0,0
Thomas Jefferson Middle,M,1263,B,76,0,6.83,0,0
Thomasboro Academy,I,730,D,42,0,0,0,0
Thomasville High,H,691,C,60,87.4,13.76,839,0.43
Thomasville Middle,M,498,D,45,0,23.31,0,0
Thomasville Primary,E,825,C,55,0,16.84,0,0
Timber Drive Elementary,E,672,C,58,0,26.11,0,0
Toisnot Middle,M,453,D,40,0,0.21,0,0
Tommy's Road Elementary,E,589,C,55,0,17.25,0,0
Topsail Elementary,E,570,B,80,0,24.75,0,0
Topsail High,H,1260,B,81,94.9,8.71,1053,0.53
Topsail Middle,M,1014,B,74,0,14.18,0,0
Torrence Creek Elementary,E,518,B,80,0,30.1,0,0
Town Creek Elementary,E,555,C,55,0,19.69,0,0
Townsend Middle,M,211,F,26,0,70.18,0,0
Township Three Elementary,E,642,C,57,0,15.65,0,0
Tramway Elementary,E,691,C,69,0,19.78,0,0
Traphill Elementary,E,134,D,49,0,64.96,0,0
Trent Park Elementary,E,467,C,59,0,20.41,0,0
Trenton Elementary,E,183,C,69,0,33.27,0,0
Trexler Middle,M,726,D,54,0,13.73,0,0
Tri-County Early College High,H,138,B,80,95,3.44,0,0
Triangle Lake Montessori Elem,E,469,C,57,0,20.96,0,0
Trindale Elementary,E,275,B,76,0,45.62,0,0
Trinity Elementary,E,443,C,64,0,30.35,0,0
Trinity High,H,748,B,75,92.6,8.87,976,0.36
Triton High,H,1264,C,58,84.6,15.01,944,0.39
Troutman Elementary,E,756,C,63,0,15.06,0,0
Troutman Middle,M,430,D,48,0,11.13,0,0
Tryon Elementary,E,364,D,54,0,18.89,0,0
Tryon Elementary School,E,384,B,78,0,37.25,0,0
Tuckaseegee Elementary,E,818,D,43,0,30.02,0,0
Tucker Creek Middle,M,489,B,72,0,19.14,0,0
Turner Creek Elementary,E,690,B,76,0,20.58,0,0
Turrentine Middle,M,804,C,57,0,10.1,0,0
Tuscola High,H,1018,C,66,83.1,9.55,1018,0.4
Tyro Elementary,E,384,C,67,0,26.16,0,0
Tyro Middle,M,616,C,57,0,11,0,0
Tyrrell Elementary,E,304,C,56,0,41.08,0,0
UNCG Early/Middle College,H,200,A,88,95,0,960,0.93
Underwood Elementary,E,516,B,81,0,30.55,0,0
Union Chapel Elementary,E,613,D,50,0,24.47,0,0
Union County Early College,H,357,A,93,95,0,1101,0.57
Union Cross Traditional Acad,E,662,C,55,0,24.07,0,0
Union Elementary,E,609,B,74,0,19.07,0,0
Union Elementary,E,594,B,75,0,26.11,0,0
Union Elementary,E,267,B,79,0,43.05,0,0
Union Elementary,E,356,B,70,0,25.41,0,0
Union Elementary,E,398,C,62,0,17.54,0,0
Union Elementary,E,466,C,57,0,16.69,0,0
Union Grove Elementary,E,232,C,65,0,32.22,0,0
Union High,H,532,C,59,76.6,17.1,888,0.28
Union Hill Elementary,E,493,D,44,0,30.77,0,0
Union Intermediate,E,290,C,62,0,28.93,0,0
Union Middle,M,420,D,50,0,25.82,0,0
Union Pines High,H,1319,B,74,93.8,6.21,1034,0.29
Unionville Elementary,E,708,B,83,0,27.09,0,0
University Meadows Elementary,E,642,C,57,0,14.74,0,0
University Park Creative Arts,E,464,C,57,0,21.07,0,0
Upchurch Elementary,E,630,C,61,0,17.83,0,0
Upward Elementary,E,449,C,65,0,31.36,0,0
Uwharrie Middle,M,356,D,52,0,25.83,0,0
Valdese Elementary,E,387,B,72,0,18.6,0,0
Valle Crucis Elementary,I,335,B,74,0,40.42,0,0
Valley Springs Middle,M,631,B,74,0,24.17,0,0
Valmead Elementary,E,175,D,53,0,42.43,0,0
Vance Co Early College,H,226,B,77,88.9,0,934,0.42
Vance Elementary,E,477,B,75,0,29.47,0,0
Vance Elementary,E,493,C,60,0,24.74,0,0
Vance High,H,1625,C,62,89.8,8.29,840,0.38
Vanceboro-Farm Life Elementary,E,605,D,52,0,32.81,0,0
Vandalia Elementary,E,252,D,45,0,23.98,0,0
Vandora Springs Elementary,E,562,D,54,0,16.55,0,0
Vanstory Hills Elementary,E,511,B,80,0,24.19,0,0
Vass-Lakeview Elementary,E,641,C,63,0,21.16,0,0
Vaughan Elementary,E,241,C,64,0,33.2,0,0
Vick Elementary,E,315,F,28,0,19.84,0,0
Vidant Health/ Sadie Saulter,A,39,F,15,0,0,0,0
Vienna Elementary,E,764,A,85,0,24.34,0,0
Viewmont Elementary,E,545,D,49,0,20.41,0,0
Vinson-Bynum Elementary,E,393,D,46,0,28.82,0,0
Virginia Cross Elementary,E,555,D,47,0,34.93,0,0
Virginia Williamson Elem,E,570,C,63,0,22.43,0,0
Visual and Performing Arts Center,H,267,B,83,95,0,1019,0.29
W A Bess Elementary School,E,574,B,76,0,22.78,0,0
W A Young Elementary,E,420,C,61,0,32.85,0,0
W B Beam Intermediate School,E,193,C,60,0,27.24,0,0
W C Friday Middle School,M,679,D,47,0,10.54,0,0
W G Pearson Elementary,E,524,F,33,0,28.43,0,0
W H Knuckles,E,254,F,36,0,31.39,0,0
W H Robinson Elementary,E,518,C,56,0,24.14,0,0
W Jesse Gurganus Elementary,E,399,B,79,0,38.99,0,0
W M Irvin Elementary,E,752,D,50,0,18.12,0,0
W M Jenkins Elementary,E,409,C,67,0,25.34,0,0
W P Grier Middle School,M,656,D,48,0,15.14,0,0
W R Odell Elementary,E,1015,B,78,0,15.2,0,0
W T Griggs Elementary,E,245,C,57,0,59.9,0,0
Waccamaw,I,530,C,64,0,28.18,0,0
Waddell Language Academy,I,1379,B,78,0,11.25,0,0
Wadesboro Elementary,M,123,F,36,0,89.48,0,0
Wadesboro Primary,E,520,F,35,0,22.24,0,0
Wagram Elementary,E,445,D,52,0,20.78,0,0
Wahl Coates Elementary,E,364,C,58,0,23.5,0,0
Wake Early College of Health and Science,H,295,A,91,95,0,1108,0.41
Wake Forest Elementary,E,523,C,66,0,32.38,0,0
Wake Forest High School,H,1920,B,81,91.8,7.16,1003,0.59
Wake Forest Middle School,M,1124,C,62,0,10.91,0,0
Wake STEM Early College High School,H,246,A,93,0,0,1066,0.28
Wake Young Men's Leadership Academy,T,253,C,67,0,28.56,1189,0.56
Wake Young Women's Leadership Academy,T,297,B,78,0,26.44,1087,0.58
Wakefield Elementary,E,692,C,58,0,21.42,0,0
Wakefield High,H,2140,B,78,91.6,9.33,1036,0.71
Wakefield Middle,M,1053,B,73,0,9.79,0,0
Wakelon Elementary,E,519,C,60,0,27.16,0,0
Waldo C Falkener Sr Elementary,E,546,D,40,0,26.42,0,0
Walker Spivey Elementary,E,358,C,57,0,22.97,0,0
Walkertown Elementary,E,754,C,56,0,14.94,0,0
Walkertown High,H,753,C,61,87,158.18,922,0.43
Walkertown Middle,M,696,D,50,0,21.05,0,0
Wallace Elementary,E,826,D,49,0,27.56,0,0
Wallace-Rose Hill High,H,666,C,55,89.1,11.41,842,0.5
Wallburg Elementary,E,833,B,78,0,17.09,0,0
Walnut Cove Elementary,E,228,C,61,0,43.86,0,0
Walnut Creek Elementary,E,773,D,53,0,24.19,0,0
Walter Bickett Elementary,E,728,F,39,0,19.91,0,0
Walter G Byers School,I,455,F,36,0,2.31,0,0
Walter L Parsley Elementary,E,665,A,90,0,19.61,0,0
Walter M Williams High,H,1158,C,69,89.9,12.48,936,0.61
Walter R Johnson Middle,M,448,C,64,0,19.19,0,0
Ward Elementary,E,748,D,54,0,18.87,0,0
Warren County High,H,407,D,46,70.2,46.01,815,0.56
Warren County Middle,M,401,D,40,0,31.17,0,0
Warren Early College High,H,118,C,62,73.9,0,942,0.48
Warren New Tech High,H,171,C,58,92.7,0,901,0.87
Warrenwood Elementary,E,405,D,50,0,21.7,0,0
Warsaw Elementary,E,572,D,44,0,37.64,0,0
Warsaw Middle,I,236,D,42,0,0,0,0
Washington County Union,M,258,D,52,0,39.27,0,0
Washington Elementary,E,551,B,73,0,21.05,0,0
Washington Elementary,E,362,C,68,0,38.67,0,0
Washington Elementary,E,343,F,38,0,24.71,0,0
Washington High,H,978,C,57,89.2,8.73,932,0.42
Washington Street Elementary,E,512,C,55,0,30.79,0,0
Watauga High,H,1319,B,74,89.2,12.82,1067,0.58
Waxhaw Elementary,E,609,C,64,0,28.54,0,0
Wayne Avenue Elem,E,241,D,41,0,61.27,0,0
Wayne Early / Middle College High,H,246,A,92,95,0,1109,0.53
Wayne School of Engineering,T,421,B,84,95,0,1030,0.39
Waynesville Middle,M,840,C,65,0,21.4,0,0
Weatherstone Elementary,E,1004,B,79,0,12,0,0
Weaverville Elementary,E,370,B,70,0,35.37,0,0
Webb A Murray Elementary,E,395,C,63,0,27.91,0,0
Weddington Elementary,E,758,A,92,0,25.23,0,0
Weddington High,H,1326,A,89,95,15.78,1092,0.87
Weddington Hills Elementary,E,945,C,66,0,15.05,0,0
Weddington Middle,M,995,A,93,0,15.19,0,0
Weeksville Elementary,E,306,B,70,0,24.54,0,0
Welborn Middle,M,387,F,30,0,44.95,0,0
Welcome Elementary,E,608,C,59,0,17.34,0,0
Weldon Elementary Global Academy,E,316,F,36,0,12.66,0,0
Weldon Middle,M,212,F,32,0,23.58,0,0
Weldon STEM High School Career Academies,H,182,D,54,84,8.24,748,0.57
Wellcome Middle,M,426,D,51,0,17.55,0,0
Wells Elementary,E,538,C,59,0,16.34,0,0
Wendell Elementary,E,490,C,60,0,20.76,0,0
Wendell Middle,M,928,D,50,0,18.2,0,0
Wentworth Elementary,E,524,C,67,0,18.15,0,0
Wesley Chapel Elementary,E,499,B,83,0,26.76,0,0
West Alexander Middle,M,484,C,65,0,19.64,0,0
West Bertie Elementary,E,253,D,46,0,23.77,0,0
West Bladen High,H,784,C,55,82.6,8.08,867,0.33
West Brunswick High,H,1346,B,74,82.7,13.21,963,0.53
West Buncombe Elementary,E,611,B,71,0,31.54,0,0
West Caldwell High,H,861,C,63,91.6,13.79,914,0.39
West Carteret High,H,1205,A,86,87.5,6.96,1087,0.45
West Cary Middle,M,970,B,74,0,11.84,0,0
West Charlotte High,H,1552,D,51,79.3,8.9,796,0.52
West Clayton Elementary,E,914,C,64,0,17.12,0,0
West Columbus High,H,479,C,57,89.8,13.22,822,0.42
West Craven High,H,966,C,65,82.4,8.16,953,0.32
West Craven Middle,M,816,C,60,0,12.88,0,0
West Davidson High,H,750,C,66,80.2,8.33,983,0.45
West Edgecombe Middle,M,314,D,40,0,28.92,0,0
West Elementary,E,311,B,80,0,30.14,0,0
West End Elementary,E,434,C,64,0,34.53,0,0
West Forsyth High,H,2233,A,85,91.9,5.35,1029,0.7
West Greene Elementary,E,501,D,49,0,18.13,0,0
West Henderson High,H,1074,B,78,95,12.28,1026,0.47
West Hoke Elementary,E,362,D,46,0,24.27,0,0
West Hoke Middle,M,594,D,48,0,16.26,0,0
West Iredell High,H,870,C,56,88.6,9.82,948,0.29
West Iredell Middle,M,657,F,37,0,17.35,0,0
West Johnston High,H,1348,C,69,92.4,17.2,1014,0.42
West Lake Elementary,E,915,B,74,0,16.41,0,0
West Lake Middle,M,1311,B,72,0,10.18,0,0
West Lee Middle,M,712,D,52,0,18.47,0,0
West Lenoir Elementary,E,178,D,44,0,45.27,0,0
West Lincoln High,H,881,C,66,91.6,11.42,969,0.36
West Lincoln Middle,M,644,C,62,0,18.31,0,0
West Lumberton Elementary,E,144,B,79,0,56.76,0,0
West Marion Elementary,E,468,C,59,0,38.14,0,0
West McDowell Middle,M,687,C,58,0,13.79,0,0
West Mecklenburg High,H,1914,D,53,86.5,3.71,795,0.48
West Middle,M,420,D,50,0,22.09,0,0
West Millbrook Middle,M,919,C,63,0,10.61,0,0
West Montgomery High,H,546,C,55,91.4,15.46,864,0.24
West Oxford Elementary,E,508,F,34,0,28.36,0,0
West Pender Middle,M,174,D,49,0,41.46,0,0
West Pine Elementary,E,569,B,84,0,17.47,0,0
West Pine Middle,M,817,B,72,0,13.68,0,0
West Rockingham Elementary,E,342,C,57,0,29.44,0,0
West Rowan High,H,1055,C,59,93,9.82,962,0.37
West Rowan Middle,M,644,D,49,0,27.76,0,0
West Smithfield Elementary,E,506,D,46,0,19.82,0,0
West Stanly High,H,860,C,69,90.4,9.3,988,0.34
West Stanly Middle School,M,689,C,67,0,10.48,0,0
West Stokes High,H,900,C,68,94,11.92,971,0.45
West View Elementary,E,986,B,73,0,11.24,0,0
West Wilkes High,H,706,B,78,87.5,3.43,1022,0.42
West Wilkes Middle,M,598,C,69,0,20.46,0,0
West Yadkin Elementary,E,508,C,64,0,28.67,0,0
Westarea Elementary,E,517,C,58,0,26.55,0,0
Westerly Hills Academy,I,610,F,33,0,12.34,0,0
Western Alamance High,H,1211,C,63,90,7.13,1014,0.55
Western Guilford High,H,1291,C,68,85.5,19.06,987,0.47
Western Harnett High,H,1428,C,62,84.8,12.86,963,0.26
Western Harnett Middle,M,678,D,54,0,28.53,0,0
Western Middle,M,878,C,66,0,12.88,0,0
Western Rockingham Middle,M,668,C,59,0,12.44,0,0
Western Union Elementary,E,699,C,65,0,19.13,0,0
Westfield Elementary,E,230,C,68,0,50.53,0,0
Westmoore Elementary,I,329,C,62,0,26.74,0,0
Westover High,H,1137,C,59,82.4,17.12,851,0.31
Westover Middle,M,730,D,49,0,16.9,0,0
Westwood Elementary,E,556,B,72,0,30.33,0,0
Wheatmore High,H,819,B,71,95,15.34,980,0.43
Whitaker Elementary,E,587,A,89,0,18.43,0,0
White Oak Elementary,E,802,B,78,0,18.44,0,0
White Oak High,H,1030,B,72,93.8,13.79,941,0.43
White Plains Elementary,E,325,B,74,0,25.5,0,0
Whiteville High,H,681,C,61,88.5,10.01,906,0.61
Whitewater Academy,E,798,D,54,0,14.91,0,0
Whitewater Middle,M,855,D,47,0,12.58,0,0
Whitnel Elementary,E,302,C,56,0,42.19,0,0
Wilburn Elementary,E,698,D,47,0,21.62,0,0
Wildwood Forest Elementary,E,766,C,62,0,19.57,0,0
Wiley Accel/Enrichment,E,308,F,36,0,39.4,0,0
Wiley Elementary,E,505,C,63,0,19.21,0,0
Wiley Middle,M,605,D,49,0,18.02,0,0
Wilkes Central High,H,882,C,59,88.5,7.22,987,0.32
Wilkes Early College High,H,214,B,76,88,0,1043,0.19
Wilkesboro Elementary,E,428,B,72,0,24.76,0,0
William Amos Hough High,H,2548,A,89,93,4.22,1085,0.65
William Ellis Middle,M,496,B,72,0,17.89,0,0
William H Owen Elementary,E,397,C,57,0,41.03,0,0
William Lenoir Middle,M,559,C,67,0,20.81,0,0
William R Davie Elementary,E,387,C,63,0,22.57,0,0
William R Davie Middle,M,346,D,43,0,37.82,0,0
William T Brown Elementary,E,413,D,46,0,27.35,0,0
Williams Elementary,E,436,C,66,0,27,0,0
Williams Township,I,711,C,57,0,18.28,0,0
Williamsburg Elementary,E,531,C,56,0,24.89,0,0
Williford Elementary,E,460,D,41,0,21.45,0,0
Willis Hare Elementary,E,293,D,49,0,20.8,0,0
Williston Middle,M,709,D,46,0,18.98,0,0
Willow Springs Elementary,E,1040,B,83,0,14.27,0,0
Wilmington Early College High,H,197,A,87,95,0,994,0.34
Wilson Early College Academy,H,278,A,87,95,0,938,0.44
Wilson's Mills Elementary,E,511,B,71,0,24.31,0,0
Wilton Elementary,E,293,C,68,0,35.94,0,0
Winding Springs Elementary,E,892,D,52,0,10.91,0,0
Windsor Elementary,E,350,D,50,0,20.41,0,0
Windsor Park Elementary,E,788,C,60,0,16.73,0,0
Winecoff Elementary,E,879,D,48,0,15.89,0,0
Wingate Elementary,E,585,C,57,0,19.02,0,0
Winget Park Elementary,E,461,B,71,0,45.92,0,0
Winstead Elementary,E,369,D,46,0,17.25,0,0
Winston-Salem Preparatory Acad,T,430,F,36,87.2,16.6,777,0.75
Winter Park Model Elementary,E,371,D,52,0,37.41,0,0
Winterfield Elementary,E,704,D,42,0,11.91,0,0
Wintergreen Intermediate,E,740,B,76,0,13.76,0,0
Wittenburg Elementary,E,290,C,63,0,37.21,0,0
Wolf Meadow Elementary,E,576,C,59,0,22,0,0
Woodfin Elementary,E,149,C,68,0,71.56,0,0
Woodhill Elementary,E,573,D,49,0,18.87,0,0
Woodington Middle,M,616,D,48,0,17.09,0,0
Woodland Elementary,E,185,B,79,0,42.23,0,0
Woodland Heights Elementary,E,798,B,80,0,15.72,0,0
Woodlawn Middle,M,552,B,70,0,14.55,0,0
Woodleaf Elementary,E,358,D,49,0,41.95,0,0
Woodrow Wilson Elementary,E,442,D,49,0,16.68,0,0
Wrightsboro Elementary,E,545,C,55,0,20.72,0,0
Wrightsville Beach Elem,E,357,A,94,0,20.06,0,0
Y E Smith Elementary,E,381,F,35,0,20.11,0,0
Yadkin Early College,H,212,A,91,95,0,1020,0.08
Yadkin Valley Regional Career Academy,H,147,C,61,0,0,0,0
Yadkinville Elementary,I,554,C,62,0,23.96,0,0
Yates Mill Elementary,E,624,B,71,0,17.37,0,0
York Chester Middle,M,372,F,34,0,19.22,0,0
York Elementary,E,474,C,69,0,19.94,0,0
Youngsville Elementary,E,446,B,75,0,23.71,0,0
Zeb Vance Elementary,E,337,C,60,0,38.58,0,0
Zebulon Elementary,E,525,D,53,0,28.62,0,0
Zebulon Middle,M,554,C,55,0,18.03,0,0
